dataset,eval_metric,problem_type
kropt,log_loss,multiclass
Titanic,roc_auc,binary
microaggregation2,log_loss,multiclass
guillermo,roc_auc,binary
kc1,roc_auc,binary
2dplanes,roc_auc,binary
OVA_Endometrium,roc_auc,binary
hill-valley,roc_auc,binary
pm10,roc_auc,binary
MagicTelescope,roc_auc,binary
one-hundred-plants-margin,log_loss,multiclass
Bioresponse,roc_auc,binary
okcupid-stem,log_loss,multiclass
cpu_act,roc_auc,binary
KDDCup09-Upselling,roc_auc,binary
segment,log_loss,multiclass
Fashion-MNIST,log_loss,multiclass
meta,roc_auc,binary
nomao,roc_auc,binary
eucalyptus,log_loss,multiclass
texture,log_loss,multiclass
cpu_small,roc_auc,binary
Brazilian_houses,root_mean_squared_error,regression
bank-marketing,roc_auc,binary
fried,roc_auc,binary
diabetes,roc_auc,binary
cylinder-bands,roc_auc,binary
wind,roc_auc,binary
fri_c3_1000_25,roc_auc,binary
space_ga,root_mean_squared_error,regression
fri_c0_1000_5,roc_auc,binary
kick,roc_auc,binary
Indian_pines,log_loss,multiclass
ada,roc_auc,binary
house_sales,root_mean_squared_error,regression
eye_movements,log_loss,multiclass
porto-seguro,roc_auc,binary
arcene,roc_auc,binary
bank32nh,roc_auc,binary
robert,log_loss,multiclass
synthetic_control,log_loss,multiclass
OnlineNewsPopularity,root_mean_squared_error,regression
delta_elevators,roc_auc,binary
climate-model-simulation-crashes,roc_auc,binary
albert,roc_auc,binary
steel-plates-fault,log_loss,multiclass
pol,root_mean_squared_error,regression
sensory,root_mean_squared_error,regression
kr-vs-k,log_loss,multiclass
eeg-eye-state,roc_auc,binary
fri_c1_1000_50,roc_auc,binary
quake,root_mean_squared_error,regression
anneal,log_loss,multiclass
jasmine,roc_auc,binary
volkert,log_loss,multiclass
pc2,roc_auc,binary
volcanoes-b1,log_loss,multiclass
Allstate_Claims_Severity,root_mean_squared_error,regression
collins,log_loss,multiclass
qsar-biodeg,roc_auc,binary
airlines,roc_auc,binary
bank8FM,roc_auc,binary
spambase,roc_auc,binary
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,roc_auc,binary
Mercedes_Benz_Greener_Manufacturing,root_mean_squared_error,regression
diamonds,root_mean_squared_error,regression
Click_prediction_small,roc_auc,binary
volcanoes-b6,log_loss,multiclass
dilbert,log_loss,multiclass
puma8NH,roc_auc,binary
blood-transfusion-service-center,roc_auc,binary
fabert,log_loss,multiclass
OVA_Prostate,roc_auc,binary
ldpa,log_loss,multiclass
socmob,root_mean_squared_error,regression
autoUniv-au1-1000,roc_auc,binary
kin8nm,roc_auc,binary
phoneme,roc_auc,binary
ailerons,roc_auc,binary
riccardo,roc_auc,binary
wine-quality-red,log_loss,multiclass
letter,log_loss,multiclass
abalone,root_mean_squared_error,regression
madelon,roc_auc,binary
MiceProtein,log_loss,multiclass
no2,roc_auc,binary
pc4,roc_auc,binary
OVA_Kidney,roc_auc,binary
fri_c3_500_10,roc_auc,binary
volcanoes-b5,log_loss,multiclass
APSFailure,roc_auc,binary
Satellite,roc_auc,binary
mammography,roc_auc,binary
tecator,root_mean_squared_error,regression
wine_quality,root_mean_squared_error,regression
house_prices_nominal,root_mean_squared_error,regression
volcanoes-a2,log_loss,multiclass
led24,log_loss,multiclass
OVA_Ovary,roc_auc,binary
eating,log_loss,multiclass
wilt,roc_auc,binary
fri_c3_1000_10,roc_auc,binary
balance-scale,log_loss,multiclass
yprop_4_1,root_mean_squared_error,regression
boston,root_mean_squared_error,regression
nursery,log_loss,multiclass
hiva_agnostic,roc_auc,binary
churn,roc_auc,binary
analcatdata_dmft,log_loss,multiclass
semeion,log_loss,multiclass
house_16H,root_mean_squared_error,regression
UMIST_Faces_Cropped,log_loss,multiclass
pendigits,log_loss,multiclass
micro-mass,log_loss,multiclass
cardiotocography,log_loss,multiclass
Australian,roc_auc,binary
first-order-theorem-proving,log_loss,multiclass
artificial-characters,log_loss,multiclass
Traffic_violations,log_loss,multiclass
elevators,root_mean_squared_error,regression
connect-4,log_loss,multiclass
pollen,roc_auc,binary
kdd_internet_usage,roc_auc,binary
waveform-5000,log_loss,multiclass
car,log_loss,multiclass
SpeedDating,roc_auc,binary
CIFAR_10,log_loss,multiclass
fars,log_loss,multiclass
kdd_el_nino-small,roc_auc,binary
isolet,log_loss,multiclass
har,log_loss,multiclass
houses,roc_auc,binary
OVA_Colon,roc_auc,binary
kc2,roc_auc,binary
autoUniv-au7-1100,log_loss,multiclass
fri_c2_500_50,roc_auc,binary
vehicle,log_loss,multiclass
volcanoes-d4,log_loss,multiclass
sylvine,roc_auc,binary
splice,log_loss,multiclass
mnist_784,log_loss,multiclass
gina,roc_auc,binary
visualizing_soil,roc_auc,binary
volcanoes-a3,log_loss,multiclass
QSAR-TID-11,root_mean_squared_error,regression
volcanoes-d1,log_loss,multiclass
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,roc_auc,binary
twonorm,roc_auc,binary
nyc-taxi-green-dec-2016,root_mean_squared_error,regression
mc1,roc_auc,binary
fri_c4_500_100,roc_auc,binary
pc3,roc_auc,binary
soybean,log_loss,multiclass
madeline,roc_auc,binary
Santander_transaction_value,root_mean_squared_error,regression
volcanoes-b2,log_loss,multiclass
fri_c3_500_50,roc_auc,binary
christine,roc_auc,binary
jannis,log_loss,multiclass
black_friday,root_mean_squared_error,regression
dna,log_loss,multiclass
tokyo1,roc_auc,binary
analcatdata_authorship,log_loss,multiclass
mfeat-factors,log_loss,multiclass
topo_2_1,root_mean_squared_error,regression
colleges,root_mean_squared_error,regression
fri_c2_1000_25,roc_auc,binary
autoUniv-au6-750,log_loss,multiclass
Amazon_employee_access,roc_auc,binary
Diabetes130US,log_loss,multiclass
boston_corrected,roc_auc,binary
baseball,log_loss,multiclass
Kuzushiji-MNIST,log_loss,multiclass
Buzzinsocialmedia_Twitter,root_mean_squared_error,regression
SAT11-HAND-runtime-regression,root_mean_squared_error,regression
cnae-9,log_loss,multiclass
Internet-Advertisements,roc_auc,binary
electricity,roc_auc,binary
arsenic-female-bladder,roc_auc,binary
KDDCup09_appetency,roc_auc,binary
MIP-2016-regression,root_mean_squared_error,regression
puma32H,roc_auc,binary
hypothyroid,log_loss,multiclass
wine-quality-white,log_loss,multiclass
tamilnadu-electricity,log_loss,multiclass
ilpd,roc_auc,binary
credit-g,roc_auc,binary
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,roc_auc,binary
Yolanda,root_mean_squared_error,regression
dresses-sales,roc_auc,binary
cmc,log_loss,multiclass
delta_ailerons,roc_auc,binary
PhishingWebsites,roc_auc,binary
Run_or_walk_information,roc_auc,binary
GesturePhaseSegmentationProcessed,log_loss,multiclass
parity5_plus_5,roc_auc,binary
wall-robot-navigation,log_loss,multiclass
rmftsa_ladata,roc_auc,binary
autoUniv-au7-700,log_loss,multiclass
OVA_Lung,roc_auc,binary
OVA_Breast,roc_auc,binary
page-blocks,log_loss,multiclass
Moneyball,root_mean_squared_error,regression
QSAR-TID-10980,root_mean_squared_error,regression
pbcseq,roc_auc,binary
yeast,log_loss,multiclass
colleges_usnews,roc_auc,binary
LED-display-domain-7digit,log_loss,multiclass
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_50_EDM-2_001,roc_auc,binary
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,roc_auc,binary
volcanoes-a4,log_loss,multiclass
ringnorm,roc_auc,binary
MiniBooNE,roc_auc,binary
optdigits,log_loss,multiclass
jungle_chess_2pcs_raw_endgame_complete,log_loss,multiclass
adult,roc_auc,binary
fri_c0_500_5,roc_auc,binary
mozilla4,roc_auc,binary
ozone-level-8hr,roc_auc,binary
jm1,roc_auc,binary
volcanoes-e1,log_loss,multiclass
satimage,log_loss,multiclass
us_crime,root_mean_squared_error,regression
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,roc_auc,binary
numerai28_6,roc_auc,binary
pc1,roc_auc,binary
shuttle,log_loss,multiclass
philippine,roc_auc,binary
